夫	A grown person stretches both arms across the household: picture a husband helping at home.
婦	Picture a woman setting down a broom as the married couple welcomes their guests.
妻	A wife ties up her hair before heading out with her partner.
彼	The person on the path is someone you point to: he is over there.
娘	Picture a daughter trying on a lovely outfit before visiting her family.
君	A voice calls to you from beneath a hand: you are the person being addressed.
王	Three levels joined by one upright line form a king's royal staff.
老	Picture an old person leaning forward over a walking stick.
若	Fresh plants grow above the opening: remember the energy of someone young.
才	A tiny sprout pushes sideways from the stem, showing an unexpected talent.
感	A feeling settles into the heart at the bottom of this character.
情	The heart at the side reacts to a blue sky: emotion changes with the scene.
愛	Imagine hands carefully sheltering a heart: love takes care of what is precious.
幸	Picture a little bundle of good fortune balanced on a stand: happiness has arrived.
喜	A drum above a mouth makes a joyful sound for everyone to hear.
笑	Bamboo bends above a person who doubles over laughing.
望	Watch the moon above a distant king's home while wishing for a better future.
願	A wish fills your head as you look back toward the source of a river.
夢	Picture a dim evening landscape beneath a blanket: the scene belongs to a dream.
欲	An open valley seems to ask for more water: wanting creates an empty space.
悲	The heart underneath feels pulled in opposite directions by sadness.
苦	Old worries grow like weeds above your head: picture a bitter, difficult day.
痛	A painful ache sits under the broad roof of the sickness radical.
怒	Imagine anger rising from the heart below a person whose hands are clenched.
恥	Your ears grow warm as your heart reacts to an embarrassing moment.
怖	The heart beside a hanging cloth imagines a frightening shape in the dark.
恐	Fear settles into the heart beneath a tool that looks unsafe.
困	A tree is trapped inside a square enclosure: it is in trouble with nowhere to grow.
疑	Picture someone stopping at a fork in the path, doubtful about which way to go.
迷	Rice scattered across the road makes a confusing trail: you lose your way.
覚	Open your eyes beneath a small roof and remember what you have learned.
忘	Something disappears above the heart: the memory has been forgotten.
想	Look at a tree with your eye, then hold its image in your heart: that is a thought.
念	Keep the present moment above your heart and give it your attention.
慣	Repeated experiences pass through the heart until they become familiar habits.
寝	Under a roof, imagine a hand pulling up the covers before going to sleep.
眠	The eye at the side grows heavy as everyone settles down to sleep.
疲	Picture tired skin and aching muscles sheltered under the sickness radical.
息	Your own nose sits above your heart: follow a breath moving between them.
吸	A mouth draws the air inward: imagine one slow breath in.
歯	Below the stopping line, a little box holds the teeth in a neat row.
腹	Imagine a full belly after returning for a second helping.
背	Two people stand back to back above the body below.
髪	Long strands above a hand form a head of hair ready to be brushed.
靴	Leather beside a changing foot becomes a shoe you can walk in.
宅	Picture roots put down under a roof: this is someone's home.
居	An old familiar corner under a shelter is the place where you reside.
宿	A person settles beneath a roof for a hundred peaceful nights at an inn.
客	Each person beneath the roof receives a welcome as a guest.
招	A hand beckons while a mouth calls: you are inviting someone over.
庭	A broad roof shelters the path that leads through a garden.
窓	A heart looks out through an opening in the roof: the window brings relief.
箱	Bamboo above a tree and an eye becomes a box whose contents you inspect.
座	Two people sit on the ground under a broad shelter: these are their seats.
席	Roll out a cloth beneath the shelter to mark your place to sit.
昨	Look back at the sun of the day just gone: yesterday.
晩	The sun sinks beside a resting figure as evening arrives.
昔	The sun shines beneath layers of old memories: think of long ago.
暮	The sun is low beneath the plants as the day comes to an end.
歳	Picture another mark added to a walking stick for each year of age.
礼	At an altar, bend your body slightly in a gesture of courtesy.
辞	A tongue chooses its words carefully before giving a formal farewell.
訪	Words travel in a direction toward someone's home: you pay a visit.
迎	Go out along the road to meet the person you are welcoming.
寄	Something unusual arrives under your roof when a visitor drops by.
婚	Picture a wedding celebrated as the daylight turns toward evening.
祖	At the altar, place a tablet for the ancestors who came before you.
御	Picture a respectful stop on the road as an honored visitor passes.
神	A message seems to rise from the altar: imagine the presence of a deity.
福	At the altar, give thanks for a full field and enough food: good fortune.
米	Four little grains spread around the central stalk: picture a handful of rice.
酒	Water beside a storage jar becomes the drink poured at a celebration.
杯	A wooden cup waits beneath your hand for another drink.
冷	Two icy drops answer a command to stay cold.
熱	Flames burn under something you can barely hold: it is hot.
雪	Below the rain cloud, imagine a broom sweeping away fresh snow.
晴	The sun appears beside a clear blue sky: the weather has cleared.
陽	The sunny side of a hill catches the light while the other side stays shaded.
候	A person watches the sky for signs of the coming weather.
吹	A mouth sends air outward toward someone waiting to catch the breeze.
葉	Many generations of plants grow above a tree, covering it with leaves.
草	An early morning sun peers through a field of growing grass.
石	A ledge above a square block forms a rock resting on the ground.
景	Sunlight above the capital turns the whole city into a beautiful scene.
園	An enclosure surrounds people and plants: picture a public garden.
猫	A small animal slips through the seedlings: a cat hunting in the garden.
馬	Picture the mane, body, and four short feet of a horse ready to run.
鳴	A mouth beside a bird gives you the sound of its call.
飛	Two sweeping wings lift away from the center: something is flying.
泳	Water keeps flowing around a swimmer who moves steadily through it.
路	Each foot follows the path laid out before it: remember the road under your feet.
途	A traveler carries extra supplies along the road for the journey ahead.
港	Water fills the sheltered lanes where boats gather in a harbor.
船	A boat carries people past a small opening in the shore: picture a ship setting sail.
渡	Water lies beside the next stage of the road: you must cross it.
遊	Follow the winding road with a child who has gone out to play.
登	Two feet push upward from a step as you climb to a higher place.
越	Keep moving beyond the boundary: your journey crosses over it.
到	You reach your destination and make a sharp stopping mark: arrival.
遅	A slow-moving sheep blocks the road and makes you late.
向	A small opening points toward a particular direction: face that way.
横	A yellow branch stretches sideways from a tree, marking the horizontal direction.
側	A person stands at the edge beside the measuring tools: on the side.
位	A person stands in the place assigned to them: this is their position.
置	Imagine a net laid straight across the spot where you place an object.
内	A person stands within the outline of a shelter: inside.
両	Picture two matched loads hanging beneath the same bar: both sides are balanced.
面	A frame surrounds the features of a face seen from the front.
列	A blade divides identical pieces into an orderly row.
段	Imagine a hand placing one block above another to build a series of steps.
流	Water runs past little strands of debris, showing the direction of the flow.
浮	A small object rests on the water as gently as a child held in a hand: floating.
深	Water surrounds a tree whose roots disappear into a deep hollow.
落	Drops slip from the plants above and fall toward the ground.
散	A hand shakes a bundle until its pieces scatter in every direction.
押	A hand presses against the flat face of a box: push firmly.
抜	A hand pulls a little piece free from the object beside it.
折	A hand bends a branch against a tool until it folds and breaks.
掛	A hand hangs something beside two neat piles on a hook.
取	A hand reaches toward an ear to take hold of a small earring.
受	Hands above and below pass an object carefully: one person receives it.
返	Follow the road back in the opposite direction to return.
戻	A large figure goes back through the door it just left.
払	A hand moves a private little pile of coins across the counter to pay.
続	A thread runs past the market stall and continues into the distance.
追	Follow the road after the person just ahead: keep chasing their footsteps.
逃	Feet scatter away along the road when someone tries to escape.
退	A traveler turns back down the road and retreats from the entrance.
留	Picture a field that holds your attention so strongly that you stay there.
初	Take a knife to fresh cloth for the first cut: the beginning of a project.
末	The uppermost branch of a tree marks its farthest end.
未	A short upper branch has not yet grown as long as the lower one.
完	The original pieces are all safely under the roof: the work is complete.
絶	The thread stops at a patch of color and goes no farther: a complete break.
次	Someone waits beside two marks for their turn to come next.
番	Seeds spread above a field in a numbered order: each has its turn.
常	The same cloth hangs beneath the roof every day: the usual arrangement.
数	Count the rice grains as a hand moves them into little groups.
幾	Two tiny threads are almost too small to count: how many are there?
部	A small settlement beside a speaking place is one part of a larger town.
全	A roof covers the entire royal staff: nothing has been left outside.
組	Threads are laid alongside one another to form a group.
束	A band ties the branches of a tree into one bundle.
類	Imagine sorting piles of grains by the shape of their heads: different kinds.
形	Three short lines trace the shape of the frame beside them.
式	A tool rests beside a workbench in the proper arrangement: the prescribed style.
格	Each branch of a tree is assigned a different rank or category.
差	A worker notices the wool on one side is longer: there is a difference.
似	A person resembles someone you have already met: they look similar.
化	Two figures turn in different directions as one changes into the other.
変	Loose threads shift above moving feet: the pattern is changing.
増	Add another layer of soil to make the mound increase in size.
加	Strength and a voice join together: adding one thing to another.
成	Picture a tool making its final stroke as a new object takes shape.
果	A field rests above a tree like a heavy piece of fruit: the result of growth.
実	A roof protects a real harvest: something substantial is inside.
得	A traveler pauses to pick up something valuable and gains a reward.
達	Follow the road past the sheep until you finally reach your destination.
満	Water fills both sides of the container until it is completely full.
値	A person looks straight at the price tag to judge an item's value.
良	A smooth, balanced shape reminds you of something well made and good.
美	A large sheep with a fine coat becomes a picture of beauty.
優	A person takes thoughtful care of someone else: gentle and excellent conduct.
適	The road leads to exactly the right opening: a suitable route.
要	Picture an important item held at the center of someone's waist: it is essential.
必	A firm stroke passes through the heart: a decision you absolutely must keep.
能	Picture a strong creature standing ready: it has the ability to act.
難	A bird tangled among many marks is difficult to free.
易	The sun shines over an open slope that is easy to walk down.
確	A stone beside a bird is solid evidence: you can be certain it is there.
定	Feet settle beneath a roof after the location has been decided.
決	Water breaks through an opening in one decisive movement.
判	A blade separates two halves while you judge which one to keep.
認	Words ask the heart to be patient until it recognizes the truth.
現	Look beside the royal jewel and see what appears in the present moment.
解	Hands separate a horn using tools: a tangled problem is taken apart and solved.
識	Words become meaningful patterns when you gain knowledge of them.
察	Under the roof, examine the offering closely and notice every detail.
観	Look carefully at a bird and observe how it moves.
科	Grain is measured with a scoop and sorted into a field of study.
術	Walk down the road carrying the special tool of your craft: a practiced technique.
精	A clear blue grain stands out from the rest: something carefully refined.
機	A tree is fitted with many tiny moving threads to become a machine.
具	A table supports everything you need: your set of tools.
育	A small body grows beneath a protective cover: someone is raising a child.
師	Picture a teacher standing beside a hanging chart and guiding the class.
徒	People walk together down the road behind their teacher: pupils on a lesson.
勤	Put strength beside a carefully tended plot: diligent work every day.
努	A hand joins with strength to make a determined effort.
職	An ear listens for the instructions that belong to a particular job.
務	Use your strength to carry out the task assigned to you: your duty.
任	A person stands beside a heavy load they have agreed to take responsibility for.
責	Valuable shells sit beneath a growing plant: someone is responsible for tending it.
役	A traveler carries a tool for the particular role they perform.
助	Add strength beside someone else's burden to help them lift it.
支	A hand holds up a branching pole to support what rests above it.
共	Imagine two hands holding the same tray: they share it together.
供	A person brings what can be shared with others: a supply or offering.
係	A person holds a thread that connects them to their assigned responsibility.
議	Words weigh what is right while a group discusses a proposal.
論	Words are arranged like orderly pages to build a reasoned argument.
談	Words pass back and forth as warmly as two little fires: a conversation.
参	Several people lean toward the same meeting point to take part.
賛	Two people place valuables beneath a proposal to show their approval.
連	Vehicles follow one another along the road in a connected line.
関	Two sides meet at a gate: this is where their connection is made.
伝	A person passes a message along like a cloud drifting to the next town.
報	A messenger brings news back to the official waiting at the post.
告	A mouth speaks beneath a raised marker to make an announcement.
記	Words are set beside yourself so you can remember them: a written record.
示	A small stand displays something clearly for everyone to see.
指	A hand points toward something that looks delicious: follow the finger.
表	Picture a coat turned outward so that its surface is on display.
申	A straight line extends through the middle like a raised hand making a formal statement.
求	Small drops reach toward the central line as if asking for more water.
頼	A bundle of worries sits beside your head until you ask someone you trust for help.
呼	A mouth sends a long call outward to get someone's attention.
許	Words give permission to do something at noon: now you are allowed.
予	Picture a hand passing a note ahead of time so someone can prepare.
期	A moon beside a regular arrangement marks an expected period of time.
約	Tie a small knot in a thread to remember your promise.
選	The road passes several possible places; choose the one you want.
商	Picture a merchant speaking through the opening of a tall market stall.
財	Valuable shells beside talent become the wealth a skilled person earns.
資	The next pile of valuable shells supplies the resources for a project.
費	Shells slip away beneath the top marks: the cost has been paid.
給	Threads join neatly at a meeting point where supplies are handed out.
経	A thread runs through the workbench, following the course of daily business.
済	Water passes neatly through a channel and the task is settled.
富	A roof shelters a full field and enough food: a wealthy household.
貧	Divide the valuable shells into very small shares and little wealth remains.
収	A hand gathers loose pieces together and brings them in.
政	A hand guides people toward what is considered correct: the work of government.
官	Under an official roof, rooms are stacked for the people who administer the town.
法	Water runs away along a set channel, following a rule.
制	A knife cuts cloth to a fixed pattern: a system of control.
権	A bird on a tree holds the highest perch and claims the right to stay there.
規	Look at a person's measurements to check that they follow the standard.
限	A hill and a firm stopping point mark the boundary you cannot pass.
守	A hand stays beneath the roof to protect the home.
備	A person stands ready beside the equipment prepared for use.
危	A figure crouches near the edge of a cliff: a dangerous position.
